score,fraction,class,id,specialization,army_value,army_z,spec_bonus_count,spec_z,skill_high_share,skill_z,skill_total_weight,table,cost,start_level,army_pieces
6.907,unfrozen,might,campaign_M6_hero_unfrozen,campaign_hero_5_specialization,9828.0,3.993,16,1.18,0.8824,1.733,1700,campaign_hero_5_skills_table,2500.0,12,"assassin_upg_alt×32, unfrozen_cultist×10, assassin_upg_alt×32"
5.944,dungeon,might,campaign_hero_1,campaign_hero_1_specialization,3810.0,1.974,19,1.967,0.875,2.003,1600,campaign_hero_1_skills_table,2500.0,1,"minos×5, minos×5"
5.827,undead,might,campaign_M9_hero_undead_main,campaign_hero_4_specialization,91030.0,2.141,44,3.181,0.8261,0.505,2300,necros_might_skills_table,2500.0,25,"skeleton_upg_alt×160, wasp_upg×36, jaw_upg×20, lich_upg_alt×24, skeleton_upg×160, olgoi_upg×16, vampire×6"
5.229,undead,might,campaign_M5_hero_undead_1,campaign_hero_4_specialization,71160.0,1.543,44,3.181,0.8261,0.505,2300,necros_might_skills_table,2500.0,12,"skeleton_upg_alt×600, skeleton×960, skeleton_upg×540"
5.116,nature,might,campaign_M4_hero_sylvan_1,nature_hero_4_specialization,75120.0,4.883,8,-0.531,0.8298,0.764,2350,nature_might_skills_table,2500.0,15,"twinkle_upg_alt×45, elf_tracker_upg×75, druid_upg_alt×15, ent_upg×30, druid_upg×15, elf_tracker_upg_alt×75, twinkle_upg×45"
4.85,undead,might,campaign_hero_4,campaign_hero_4_specialization,1740.0,-0.546,44,3.181,0.8841,2.215,1725,campaign_hero_4_skills_table,2500.0,8,skeleton×60
3.949,dungeon,might,dungeon_hero_6,dungeon_hero_6_specialization,4088.0,2.603,14,0.551,0.8333,0.794,2400,dungeon_might_skills_table,2500.0,1,"trogl×26, minos×4, minos×4"
3.869,human,might,tutorial_hero_c1_5,tutorial_human_hero_7_specialization,15616.0,0.049,24,3.439,0.8298,0.38,2350,humans_might_skills_table,2500.0,30,"griffin_upg×1, griffin_upg×1, griffin_upg×1, sunlight_cavalry_upg_alt×10, griffin_upg×1, griffin_upg×1, griffin_upg×1"
3.718,unfrozen,might,campaign_M4_hero_unfrozen,campaign_hero_5_specialization,4914.0,0.805,16,1.18,0.8824,1.733,1700,campaign_hero_5_skills_table,2500.0,9,"assassin_upg_alt×16, unfrozen_cultist×5, assassin_upg_alt×16"
3.696,human,might,campaign_M9_hero_temple_main,campaign_hero_3_specialization,101364.0,3.347,10,-0.031,0.8298,0.38,2350,humans_might_skills_table,2500.0,25,"esquire_upg_alt×80, crossbowman_upg×64, wasp_upg×36, jaw_upg×20, sunlight_cavalry_upg_alt×12, olgoi_upg×16, angel×4"
3.665,demon,might,campaign_M10_hero_demon_generic_2,demon_hero_2_specialization,2413465.0,1.787,14,0.946,0.8298,0.931,2350,demons_might_skills_table,2500.0,15,"trick_demon_upg_alt×1000, locust_upg_alt×750, wasp_upg_alt×600, jaw_upg_alt×500, godslayer_upg_alt×450, olgoi_upg_alt×300, hive_queen_upg_alt×99"
3.661,human,might,tutorial_hero_1_basic,human_hero_3_specialization_basic,2010.0,-0.474,9,-0.279,1.0,4.414,400,humans_might_skills_table_tutorial,2500.0,1,"esquire×10, esquire×10, esquire×10"
3.587,human,might,campaign_M4_hero_temple_1,human_hero_6_specialization,111412.0,3.733,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,15,"esquire_upg_alt×240, sunlight_cavalry_upg×5, sunlight_cavalry×5, griffin_upg×80, sunlight_cavalry_upg×5, crossbowman_upg×164, griffin_upg_alt×80"
3.19,undead,might,tutorial_hero_c1_12,necro_hero_8_specialization,127119.0,3.227,7,-0.542,0.8261,0.505,2300,necros_might_skills_table,2500.0,20,"skeleton_upg_alt×235, flicker_upg_alt×100, pet_upg×75, graverobber_upg_alt×42, avatar_of_war_upg×19, vampire_upg×10, lich×51"
3.093,demon,might,campaign_M10_hero_demon_2,demon_hero_5_specialization_alt,80714.0,-0.512,20,2.674,0.8298,0.931,2350,demons_might_skills_table,2500.0,20,"godslayer_upg×10, jaw_upg×35, wasp_upg_alt×20, hive_queen×4, wasp_upg×20, jaw_upg_alt×35, godslayer_upg_alt×10"
2.661,demon,might,campaign_M10_hero_demon_4,campaign_hero_2_specialization_alt,1979500.0,1.36,12,0.37,0.8298,0.931,2350,demons_might_skills_table,2500.0,30,"godslayer_upg×250, olgoi_upg×150, hive_queen_upg_alt×50, godslayer_upg_alt×250, hive_queen_upg×50, olgoi_upg_alt×150, wasp_upg_alt×300"
2.496,dungeon,might,dungeon_hero_3,dungeon_hero_3_specialization,3196.0,0.583,16,1.118,0.8333,0.794,2400,dungeon_might_skills_table,2500.0,1,"trogl×26, assassin×12, blade_dancer×7"
2.32,human,might,tutorial_hero_c1_7,tutorial_human_hero_12_specialization,14025.0,-0.012,18,1.952,0.8298,0.38,2350,humans_might_skills_table,2500.0,20,lightweaver_upg_alt×33
2.316,human,might,tutorial_hero_c1_11,human_hero_18_specialization,78366.0,2.462,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,5,"inquisitor_upg×18, esquire_upg×151, lightweaver_upg_alt×75"
2.28,nature,might,campaign_M4_hero_sylvan_3_alt,nature_hero_11_specialization,4464.0,-0.105,14,1.622,0.8298,0.764,2350,nature_might_skills_table,2500.0,8,"druid×3, druid×3"
2.235,undead,magic,campaign_M9_hero_undead_npc,necro_hero_16_specialization,92035.0,2.171,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,18,"lich_upg×27, lich_upg_alt×27, pet_upg×54, graverobber_upg×34, lich_upg_alt×27, avatar_of_war_upg×15, pet_upg_alt×46"
2.225,demon,might,campaign_M10_hero_demon_generic_1,demon_hero_1_specialization,2413465.0,1.787,9,-0.494,0.8298,0.931,2350,demons_might_skills_table,2500.0,15,"trick_demon_upg_alt×1000, locust_upg_alt×750, wasp_upg_alt×600, jaw_upg_alt×500, godslayer_upg_alt×450, olgoi_upg_alt×300, hive_queen_upg_alt×99"
2.214,nature,might,campaign_M4_hero_sylvan_2_alt,nature_hero_3_specialization,3528.0,-0.172,14,1.622,0.8298,0.764,2350,nature_might_skills_table,2500.0,8,"elf_tracker×14, elf_tracker×14, elf_tracker×14"
2.214,nature,might,campaign_M4_hero_sylvan_2,nature_hero_3_specialization,3528.0,-0.172,14,1.622,0.8298,0.764,2350,nature_might_skills_table,2500.0,8,"elf_tracker×14, elf_tracker×14, elf_tracker×14"
2.212,dungeon,might,dungeon_hero_9,dungeon_hero_9_specialization,3196.0,0.583,15,0.835,0.8333,0.794,2400,dungeon_might_skills_table,2500.0,1,"trogl×26, assassin×12, blade_dancer×7"
