faction,classType,className,heroId,heroName,specializationSid,specializationName,startingSkills,subclassA,subclassA_required,subclassA_starting_matches,subclassB,subclassB_required,subclassB_starting_matches
human,might,Knight,human_hero_1,Ister,human_hero_1_specialization,Wayfarer,Righteousness (L1); Logistics (L1),Swashbuckler,Offense; Wisdom; Nightshade Magic; Leadership; Luck,,Paragon,Battlecraft; Summon Avatar; Daylight Magic; Diplomacy; Tactics,
human,might,Knight,human_hero_2,Leon Sticky‑Fingers,human_hero_2_specialization,Pathfinder,Righteousness (L1); Scouting (L1),Swashbuckler,Offense; Wisdom; Nightshade Magic; Leadership; Luck,,Paragon,Battlecraft; Summon Avatar; Daylight Magic; Diplomacy; Tactics,
human,might,Knight,human_hero_3,John Johnson,human_hero_3_specialization,Salt of the Earth,Righteousness (L1); Defense (L1),Swashbuckler,Offense; Wisdom; Nightshade Magic; Leadership; Luck,,Paragon,Battlecraft; Summon Avatar; Daylight Magic; Diplomacy; Tactics,
human,might,Knight,human_hero_4,Kestrel,human_hero_4_specialization,Jaeger,Righteousness (L1); Offense (L1),Swashbuckler,Offense; Wisdom; Nightshade Magic; Leadership; Luck,Offense,Paragon,Battlecraft; Summon Avatar; Daylight Magic; Diplomacy; Tactics,
human,might,Knight,human_hero_5,Aeos the Exalted,human_hero_5_specialization,Rousing Presence,Righteousness (L1); Leadership (L1),Swashbuckler,Offense; Wisdom; Nightshade Magic; Leadership; Luck,Leadership,Paragon,Battlecraft; Summon Avatar; Daylight Magic; Diplomacy; Tactics,
human,might,Knight,human_hero_6,Heretic Avis,human_hero_6_specialization,Gem Seeker,Righteousness (L1); Recruitment (L1),Swashbuckler,Offense; Wisdom; Nightshade Magic; Leadership; Luck,,Paragon,Battlecraft; Summon Avatar; Daylight Magic; Diplomacy; Tactics,
human,might,Knight,human_hero_7,Keandra,human_hero_7_specialization,Jouster,Righteousness (L1); Battlecraft (L1),Swashbuckler,Offense; Wisdom; Nightshade Magic; Leadership; Luck,,Paragon,Battlecraft; Summon Avatar; Daylight Magic; Diplomacy; Tactics,Battlecraft
human,might,Knight,human_hero_8,Lord Edgar,human_hero_8_specialization,True Lord,Righteousness (L2),Swashbuckler,Offense; Wisdom; Nightshade Magic; Leadership; Luck,,Paragon,Battlecraft; Summon Avatar; Daylight Magic; Diplomacy; Tactics,
human,might,Knight,human_hero_9,Old Lord Mandall,human_hero_9_specialization,Heroic Smite,Righteousness (L1); Combat (L1),Swashbuckler,Offense; Wisdom; Nightshade Magic; Leadership; Luck,,Paragon,Battlecraft; Summon Avatar; Daylight Magic; Diplomacy; Tactics,
human,magic,Cleric,human_hero_10,Merry Elias,human_hero_10_specialization,Spiritual Vigor,Righteousness (L1); Diplomacy (L1),Grand Inquisitor,Defense; Battle Magic; Arcane Magic; Insight; Scouting,,Ascendant,Resistance; Sorcery; Primal Magic; Logistics; Economy,
