hero,fraction,class,school,table,p_per_roll
demon_hero_1,demon,might,day,demons_might_skills_table,0.01702
demon_hero_1,demon,might,night,demons_might_skills_table,0.02553
demon_hero_1,demon,might,space,demons_might_skills_table,0.00851
demon_hero_1,demon,might,primal,demons_might_skills_table,0.03404
demon_hero_10,demon,magic,day,demons_magic_skills_table,0.01702
demon_hero_10,demon,magic,night,demons_magic_skills_table,0.02553
demon_hero_10,demon,magic,space,demons_magic_skills_table,0.00851
demon_hero_10,demon,magic,primal,demons_magic_skills_table,0.03404
demon_hero_11,demon,magic,day,demons_magic_skills_table,0.01702
demon_hero_11,demon,magic,night,demons_magic_skills_table,0.02553
demon_hero_11,demon,magic,space,demons_magic_skills_table,0.00851
demon_hero_11,demon,magic,primal,demons_magic_skills_table,0.03404
demon_hero_12,demon,magic,day,demons_magic_skills_table,0.01702
demon_hero_12,demon,magic,night,demons_magic_skills_table,0.02553
demon_hero_12,demon,magic,space,demons_magic_skills_table,0.00851
demon_hero_12,demon,magic,primal,demons_magic_skills_table,0.03404
demon_hero_13,demon,magic,day,demons_magic_skills_table,0.01702
demon_hero_13,demon,magic,night,demons_magic_skills_table,0.02553
demon_hero_13,demon,magic,space,demons_magic_skills_table,0.00851
demon_hero_13,demon,magic,primal,demons_magic_skills_table,0.03404
demon_hero_14,demon,magic,day,demons_magic_skills_table,0.01702
demon_hero_14,demon,magic,night,demons_magic_skills_table,0.02553
demon_hero_14,demon,magic,space,demons_magic_skills_table,0.00851
demon_hero_14,demon,magic,primal,demons_magic_skills_table,0.03404
demon_hero_15,demon,magic,day,demons_magic_skills_table,0.01702
demon_hero_15,demon,magic,night,demons_magic_skills_table,0.02553
demon_hero_15,demon,magic,space,demons_magic_skills_table,0.00851
demon_hero_15,demon,magic,primal,demons_magic_skills_table,0.03404
demon_hero_16,demon,magic,day,demons_magic_skills_table,0.01702
demon_hero_16,demon,magic,night,demons_magic_skills_table,0.02553
demon_hero_16,demon,magic,space,demons_magic_skills_table,0.00851
demon_hero_16,demon,magic,primal,demons_magic_skills_table,0.03404
demon_hero_17,demon,magic,day,demons_magic_skills_table,0.01702
demon_hero_17,demon,magic,night,demons_magic_skills_table,0.02553
demon_hero_17,demon,magic,space,demons_magic_skills_table,0.00851
demon_hero_17,demon,magic,primal,demons_magic_skills_table,0.03404
demon_hero_18,demon,magic,day,demons_magic_skills_table,0.01702
demon_hero_18,demon,magic,night,demons_magic_skills_table,0.02553
demon_hero_18,demon,magic,space,demons_magic_skills_table,0.00851
demon_hero_18,demon,magic,primal,demons_magic_skills_table,0.03404
demon_hero_2,demon,might,day,demons_might_skills_table,0.01702
demon_hero_2,demon,might,night,demons_might_skills_table,0.02553
demon_hero_2,demon,might,space,demons_might_skills_table,0.00851
demon_hero_2,demon,might,primal,demons_might_skills_table,0.03404
demon_hero_3,demon,might,day,demons_might_skills_table,0.01702
demon_hero_3,demon,might,night,demons_might_skills_table,0.02553
demon_hero_3,demon,might,space,demons_might_skills_table,0.00851
demon_hero_3,demon,might,primal,demons_might_skills_table,0.03404
demon_hero_4,demon,might,day,demons_might_skills_table,0.01702
demon_hero_4,demon,might,night,demons_might_skills_table,0.02553
demon_hero_4,demon,might,space,demons_might_skills_table,0.00851
demon_hero_4,demon,might,primal,demons_might_skills_table,0.03404
demon_hero_5,demon,might,day,demons_might_skills_table,0.01702
demon_hero_5,demon,might,night,demons_might_skills_table,0.02553
demon_hero_5,demon,might,space,demons_might_skills_table,0.00851
demon_hero_5,demon,might,primal,demons_might_skills_table,0.03404
demon_hero_6,demon,might,day,demons_might_skills_table,0.01702
demon_hero_6,demon,might,night,demons_might_skills_table,0.02553
demon_hero_6,demon,might,space,demons_might_skills_table,0.00851
demon_hero_6,demon,might,primal,demons_might_skills_table,0.03404
demon_hero_7,demon,might,day,demons_might_skills_table,0.01702
demon_hero_7,demon,might,night,demons_might_skills_table,0.02553
demon_hero_7,demon,might,space,demons_might_skills_table,0.00851
demon_hero_7,demon,might,primal,demons_might_skills_table,0.03404
demon_hero_8,demon,might,day,demons_might_skills_table,0.01702
demon_hero_8,demon,might,night,demons_might_skills_table,0.02553
demon_hero_8,demon,might,space,demons_might_skills_table,0.00851
demon_hero_8,demon,might,primal,demons_might_skills_table,0.03404
demon_hero_9,demon,might,day,demons_might_skills_table,0.01702
demon_hero_9,demon,might,night,demons_might_skills_table,0.02553
demon_hero_9,demon,might,space,demons_might_skills_table,0.00851
demon_hero_9,demon,might,primal,demons_might_skills_table,0.03404
dungeon_hero_1,dungeon,might,day,dungeon_might_skills_table,0.02083
dungeon_hero_1,dungeon,might,night,dungeon_might_skills_table,0.02083
