tier,fraction,id,variant,squad_value,cost_gold,value_per_gold,vpg_z,hp,offence,defence,dmg_avg,initiative,speed,exp_bonus
1,neutral,gnat,base,66.0,66.0,1.0,3.458,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1,dungeon,trogl_upg,upg,52.0,60.0,0.8667,1.001,8.0,3.0,6.0,2.0,6.0,5.0,7.0
1,dungeon,trogl_upg_alt,alt,52.0,60.0,0.8667,1.001,8.0,5.0,3.0,2.5,5.0,4.0,7.0
1,demon,trick_demon_upg,upg,85.0,100.0,0.85,0.694,9.0,3.0,6.0,2.5,5.0,4.0,11.0
1,demon,trick_demon_upg_alt,alt,85.0,100.0,0.85,0.694,7.0,6.0,3.0,2.5,6.0,5.0,11.0
1,undead,skeleton,base,29.0,35.0,0.8286,0.299,6.0,4.0,1.0,2.0,4.0,3.0,4.0
1,demon,trick_demon,base,65.0,80.0,0.8125,0.003,7.0,3.0,3.0,2.5,4.0,3.0,9.0
1,dungeon,trogl,base,40.0,50.0,0.8,-0.228,8.0,2.0,3.0,2.0,4.0,4.0,5.0
1,nature,elf_tracker,base,84.0,105.0,0.8,-0.228,11.0,4.0,3.0,3.5,5.0,2.0,11.0
1,nature,elf_tracker_upg,upg,111.0,140.0,0.7929,-0.358,11.0,4.0,3.0,3.5,6.0,3.0,15.0
1,nature,elf_tracker_upg_alt,alt,111.0,140.0,0.7929,-0.358,11.0,6.0,6.0,4.5,7.0,4.0,15.0
1,human,esquire_upg,upg,87.0,110.0,0.7909,-0.395,12.0,6.0,5.0,2.5,6.0,4.0,12.0
1,human,esquire_upg_alt,alt,87.0,110.0,0.7909,-0.395,15.0,5.0,8.0,2.5,5.0,5.0,12.0
1,human,esquire,base,67.0,85.0,0.7882,-0.445,12.0,4.0,4.0,2.5,5.0,4.0,9.0
1,unfrozen,lesser_eldritch,base,59.0,75.0,0.7867,-0.473,10.0,3.0,3.0,3.0,2.0,4.0,8.0
1,unfrozen,lesser_eldritch_upg,upg,78.0,100.0,0.78,-0.596,10.0,4.0,4.0,3.0,4.0,4.0,10.0
1,unfrozen,lesser_eldritch_upg_alt,alt,78.0,100.0,0.78,-0.596,10.0,4.0,4.0,3.0,3.0,5.0,10.0
1,undead,skeleton_upg,upg,38.0,50.0,0.76,-0.965,6.0,4.0,3.0,2.5,5.0,4.0,5.0
1,undead,skeleton_upg_alt,alt,38.0,50.0,0.76,-0.965,6.0,4.0,1.0,2.0,4.0,3.0,5.0
1,neutral,pixie,base,75.0,100.0,0.75,-1.149,6.0,2.0,2.0,2.0,8.0,8.0,10.0
2,nature,twinkle_upg,upg,178.0,200.0,0.89,0.415,18.0,8.0,3.0,4.5,6.0,6.0,23.0
2,nature,twinkle_upg_alt,alt,178.0,200.0,0.89,0.415,18.0,5.0,5.0,4.5,9.0,5.0,23.0
2,dungeon,assassin_upg,upg,132.0,150.0,0.88,0.373,13.0,6.0,2.0,4.0,6.0,7.0,17.0
2,dungeon,assassin_upg_alt,alt,132.0,150.0,0.88,0.373,13.0,6.0,2.0,4.0,9.0,6.0,17.0
2,human,crossbowman_upg,upg,123.0,140.0,0.8786,0.367,10.0,5.0,4.0,3.5,5.0,4.0,16.0
2,human,crossbowman_upg_alt,alt,123.0,140.0,0.8786,0.367,10.0,6.0,3.0,3.5,7.0,3.0,16.0
2,unfrozen,unfrozen_cultist_upg,upg,184.0,210.0,0.8762,0.357,15.0,6.0,7.0,4.5,5.0,5.0,22.0
